NCC 	NCC (VIẾT TẮT)	ĐỊA CHỈ NCC 	MST NCC
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ BAO BÌ LỘC PHÁT	BAO BÌ LỘC PHÁT	229 Nguyễn Thị Minh Khai, Ninh Kiều, Cần Thơ 	1801722746
CÔNG TY TNHH CHẤN HƯNG NÔNG 	CHẤN HƯNG NÔNG 	 Ấp Trường Thọ, Xã Trường Xuân, TP Cần Thơ, Việt Nam. 	1801800440
BAO BÌ CHÂU DUY	BAO BÌ CHÂU DUY	 26-28 Ngô Sĩ Liên KDC MeTro,Tân An, Cần Thơ 	
CÔNG TY TNHH SẢN XUẤT BAO BÌ ĐÔNG BẮC	BAO BÌ ĐÔNG BẮC	 Số 11 Đường 406 Ấp 2, Xã Củ Chi, TP Hồ Chí Minh, Việt Nam 	0318450547
CÔNG TY TNHH MÁY VÀ HÓA CHẤT TOÀN CẦU	HÓA CHẤT TOÀN CẦU	 Tầng 6, tòa nhà CDS, Số 33,Ngõ 61 Lạc Trung, Phường Vĩnh Tuy, Hà Nội 	010 511 1638 
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI CAO VẠN THỊNH	CAO VẠN THỊNH	 1004/12 Hương lộ 2, khu phố 6, Phường Bình Trị Đông, TP Hồ Chí Minh, Việt Nam 	0311953982
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ NGỌC HÂN XUYÊN Á	NGỌC HÂN XUYÊN Á	 Số 134 đường Giồng Lớn, ấp Giồng Lớn, Xã Mỹ Hạnh, Tỉnh Tây Ninh, Việt Nam 	1 1 0 2 1 0 6 8 1 8
LÊ HỮU THÔNG	TANK LÊ HỮU THÔNG	 252 Ấp 17, xã Hiệp Phước, Thành phố Hồ Chí Minh 	0 7 9 0 8 2 0 0 6 5 8 7
Công Ty TNHH TM Nông Xanh	Nông Xanh	 168 Đường 16, KDC Đông Tăng Long ,P long phước,TP.HCM 	0310187076
CÔNG TY TNHH XANH VIỆT VINA	XANH VIỆT VINA	 Tầng 2, Hado Airport Building, số 2 đường Hồng Hà, Phường Tân Sơn Hòa, Thành Phố Hồ Chí Minh, Việt Nam 	0318499006
